name,model,optim,logl,k,AIC,AICc,BIC,rf_pandit,rf_q1,treelength
PF04290,q1,inferredtree,-8065.7902,72,16275.5803,16365.4265,16509.3660,22,0,41.18118323920001
PF04290,q5,optimizedtruetree,-8976.6068,51,18055.2135,18093.6483,18220.8117,0,22,31.722022658100002
PF04290,q1,optimizedtruetree,-8076.4052,72,16296.8103,16386.6565,16530.5961,0,22,41.04626279190002
PF04290,pogofit,inferredtree,-7928.9673,52,15961.9346,16002.1682,16130.7798,28,14,33.9689398862
PF04290,q4,inferredtree,-8407.2443,52,16918.4887,16958.7222,17087.3339,22,16,44.942401573400005
PF04290,poisson,optimizedtruetree,-8992.4737,51,18086.9474,18125.3822,18252.5456,0,22,19.730006171000003
PF04290,q5,inferredtree,-8938.6944,51,17979.3888,18017.8235,18144.9870,30,24,30.450843055400004
PF04290,q3,optimizedtruetree,-8244.3360,71,16630.6719,16717.3160,16861.2106,0,22,28.651580877200004
PF04290,pogofit,optimizedtruetree,-7942.8268,52,15989.6536,16029.8872,16158.4989,0,22,34.524969069499996
PF04290,q2,optimizedtruetree,-8232.2490,52,16568.4981,16608.7316,16737.3433,0,22,27.6819725571
PF04290,poisson,inferredtree,-8946.3194,51,17994.6388,18033.0735,18160.2370,28,30,19.0090106794
PF06863,q4,optimizedtruetree,-8669.6366,88,17515.2733,17805.3473,17776.0036,0,18,30.373730580400007
PF06863,pogofit,optimizedtruetree,-8127.4317,70,16394.8635,16532.9190,16602.2626,0,18,32.408192498999995
PF06863,q5,optimizedtruetree,-9259.3963,69,18656.7926,18789.1214,18861.2289,0,18,53.18191885639999
PF06863,pogofit,inferredtree,-8125.0254,70,16390.0507,16528.1063,16597.4498,14,20,32.785003736099995
PF06863,q1,optimizedtruetree,-8308.8072,70,16757.6143,16895.6699,16965.0135,0,18,26.5774638285
PF06863,q3,optimizedtruetree,-8534.3559,69,17206.7117,17339.0405,17411.1480,0,18,27.83858984260001
PF06863,q4,inferredtree,-8664.0509,88,17504.1018,17794.1759,17764.8321,12,16,30.38375393670001
PF06863,q5,inferredtree,-9238.0952,69,18614.1904,18746.5191,18818.6267,16,18,53.00290310580001
PF06863,poisson,optimizedtruetree,-9110.2089,69,18358.4178,18490.7466,18562.8541,0,18,20.867117291000007
PF06863,q1,inferredtree,-8302.7618,70,16745.5237,16883.5792,16952.9228,18,0,26.942028508199993
PF06863,q2,optimizedtruetree,-8389.0933,89,16956.1865,17258.4507,17219.8797,0,18,32.87825775009999
PF06863,q3,inferredtree,-8533.7663,69,17205.5325,17337.8613,17409.9688,6,16,27.76855981360001
PF06863,q2,inferredtree,-8381.5920,89,16941.1840,17243.4482,17204.8772,22,20,34.064285582
PF06863,poisson,inferredtree,-9083.5129,69,18305.0258,18437.3545,18509.4621,26,26,20.5534282861
PF01750,q4,inferredtree,-7224.1793,70,14588.3587,14722.6830,14796.7301,20,10,29.737869994200004
PF01750,q3,optimizedtruetree,-7099.7815,52,14303.5630,14363.4760,14458.3532,0,20,23.611777960199998
PF01750,q5,inferredtree,-7842.0710,51,15786.1420,15843.1743,15937.9554,24,32,46.786980156599995
PF01750,pogofit,optimizedtruetree,-6715.1557,52,13534.3113,13594.2244,13689.1015,0,20,28.3474118491
PF01750,q3,inferredtree,-7090.8879,52,14285.7758,14345.6888,14440.5659,16,22,23.444132851299997
PF01750,q2,inferredtree,-6939.9781,71,14021.9562,14162.0110,14233.3043,12,8,21.121112304799997
PF01750,q1,inferredtree,-6856.8854,53,13819.7707,13882.6718,13977.5376,20,0,28.567939879899996
PF01750,poisson,inferredtree,-7646.3376,51,15394.6752,15451.7074,15546.4886,14,26,15.6928637566
PF01750,q2,optimizedtruetree,-6951.8938,71,14045.7876,14185.8424,14257.1357,0,20,21.0557825485
PF01750,q4,optimizedtruetree,-7235.6154,70,14611.2307,14745.5550,14819.6021,0,20,29.8029290495
