name,tree,repl,bic,model,modelr
HA,salichos,10,NA,JTT+F+G4,1
HA,salichos,10,NA,DCMut+I,2
HA,salichos,10,NA,mtZOA+F,3
HA,salichos,10,NA,mtART+F,4
HA,salichos,10,NA,mtART,5
HA,salichos,11,NA,JTT+F+G4,1
HA,salichos,11,NA,LG+I,2
HA,salichos,11,NA,mtZOA+I+G4,3
HA,salichos,11,NA,mtART+F+I,4
HA,salichos,11,NA,mtART,5
HA,salichos,12,NA,JTT+F+G4,1
HA,salichos,12,NA,FLU+F,2
HA,salichos,12,NA,mtZOA+F+I,3
HA,salichos,12,NA,mtART+F,4
HA,salichos,12,NA,mtART,5
HA,salichos,13,NA,JTT+F+I+G4,1
HA,salichos,13,NA,LG+I,2
HA,salichos,13,NA,mtZOA+F,3
HA,salichos,13,NA,mtART+F,4
HA,salichos,13,NA,mtART,5
HA,salichos,14,NA,JTT+F+G4,1
HA,salichos,14,NA,HIVw+F,2
HA,salichos,14,NA,mtZOA+F+I,3
HA,salichos,14,NA,mtART+F,4
HA,salichos,14,NA,mtART,5
HA,salichos,15,NA,JTT+F+I+G4,1
HA,salichos,15,NA,LG+F,2
HA,salichos,15,NA,mtART+F+G4,3
HA,salichos,15,NA,mtART+F+I,4
HA,salichos,15,NA,mtART,5
HA,salichos,16,NA,JTT+F+G4,1
HA,salichos,16,NA,HIVw+F+I,2
HA,salichos,16,NA,mtZOA+F,3
HA,salichos,16,NA,mtART+F,4
HA,salichos,16,NA,mtART,5
HA,salichos,17,NA,JTT+F+I+G4,1
HA,salichos,17,NA,LG+I,2
HA,salichos,17,NA,mtZOA+F+I,3
HA,salichos,17,NA,mtART+F,4
HA,salichos,17,NA,mtART,5
HA,salichos,18,NA,JTT+F+I+G4,1
HA,salichos,18,NA,FLU+F,2
HA,salichos,18,NA,mtART+F+G4,3
HA,salichos,18,NA,mtART+F,4
HA,salichos,18,NA,mtART,5
HA,salichos,19,NA,JTT+F+G4,1
HA,salichos,19,NA,LG,2
