name,tree,repl,model,logl,df,aic,aicc,bic
HA,yeast,4,LG,82248.322,189,164874.643,165066.675,165693.969
HA,yeast,4,LG+G4,80852.544,190,162085.088,162279.673,162908.749
HA,yeast,4,LG+F,81692.815,208,163801.631,164046.544,164703.322
HA,yeast,4,LG+F+G4,80149.983,209,160717.966,160965.932,161623.992
HA,yeast,4,DCMut,82722.896,189,165823.792,166015.824,166643.117
HA,yeast,4,DCMut+G4,80988.515,190,162357.029,162551.614,163180.690
HA,yeast,4,DCMut+F,81591.697,208,163599.394,163844.307,164501.085
HA,yeast,4,DCMut+F+G4,79858.922,209,160135.843,160383.809,161041.870
HA,yeast,4,PMB,81097.254,189,162572.508,162764.540,163391.833
HA,yeast,4,PMB+G4,79965.421,190,160310.842,160505.426,161134.502
HA,yeast,4,PMB+F,80818.897,208,162053.795,162298.708,162955.486
HA,yeast,4,PMB+F+G4,79628.495,209,159674.991,159922.957,160581.017
HA,yeast,4,HIVb,80943.209,189,162264.418,162456.450,163083.743
HA,yeast,4,HIVb+G4,79402.491,190,159184.983,159379.567,160008.643
HA,yeast,4,HIVb+F,80529.113,208,161474.225,161719.138,162375.917
HA,yeast,4,HIVb+F+G4,78843.179,209,158104.357,158352.323,159010.384
HA,yeast,4,HIVw,83447.407,189,167272.814,167464.846,168092.139
HA,yeast,4,HIVw+G4,81815.568,190,164011.137,164205.721,164834.797
HA,yeast,4,HIVw+F,81503.826,208,163423.652,163668.565,164325.344
HA,yeast,4,HIVw+F+G4,79859.056,209,160136.112,160384.079,161042.139
HA,yeast,4,JTTDCMut,79882.187,189,160142.373,160334.405,160961.698
HA,yeast,4,JTTDCMut+G4,78597.420,190,157574.840,157769.425,158398.500
HA,yeast,4,JTTDCMut+F,79452.744,208,159321.488,159566.401,160223.180
HA,yeast,4,JTTDCMut+F+G4,78077.006,209,156572.012,156819.978,157478.038
HA,yeast,4,FLU,82742.873,189,165863.746,166055.778,166683.071
HA,yeast,4,FLU+G4,81102.536,190,162585.071,162779.656,163408.732
HA,yeast,4,FLU+F,81469.656,208,163355.312,163600.225,164257.004
HA,yeast,4,FLU+F+G4,79759.923,209,159937.846,160185.812,160843.872
HA,yeast,4,Blosum62,81788.298,189,163954.596,164146.628,164773.921
HA,yeast,4,Blosum62+G4,80626.054,190,161632.107,161826.692,162455.768
HA,yeast,4,Blosum62+F,81223.014,208,162862.028,163106.940,163763.719
HA,yeast,4,Blosum62+F+G4,79993.094,209,160404.189,160652.155,161310.215
HA,yeast,4,mtMet,85993.694,189,172365.388,172557.420,173184.713
HA,yeast,4,mtMet+G4,83686.786,190,167753.571,167948.155,168577.231
HA,yeast,4,mtMet+F,82629.500,208,165675.001,165919.913,166576.692
HA,yeast,4,mtMet+F+G4,80556.464,209,161530.929,161778.895,162436.955
HA,yeast,4,mtVer,86463.498,189,173304.997,173497.029,174124.322
HA,yeast,4,mtVer+G4,83883.449,190,168146.898,168341.482,168970.558
HA,yeast,4,mtVer+F,82906.381,208,166228.762,166473.675,167130.454
HA,yeast,4,mtVer+F+G4,80860.855,209,162139.711,162387.677,163045.737
HA,yeast,4,mtInv,86272.334,189,172922.668,173114.700,173741.993
HA,yeast,4,mtInv+G4,84211.279,190,168802.558,168997.142,169626.218
HA,yeast,4,mtInv+F,82215.762,208,164847.523,165092.436,165749.214
HA,yeast,4,mtInv+F+G4,80320.588,209,161059.177,161307.143,161965.203
HA,yeast,5,Dayhoff,83117.228,189,166612.457,166804.489,167431.782
HA,yeast,5,Dayhoff+I,83100.515,190,166581.029,166775.614,167404.689
HA,yeast,5,Dayhoff+G4,81579.909,190,163539.818,163734.402,164363.478
HA,yeast,5,Dayhoff+I+G4,81577.307,191,163536.614,163733.775,164364.609
HA,yeast,5,Dayhoff+F,81998.772,208,164413.544,164658.457,165315.236
HA,yeast,5,Dayhoff+F+I,81982.197,209,164382.393,164630.360,165288.420
HA,yeast,5,Dayhoff+F+G4,80476.887,209,161371.773,161619.739,162277.800
HA,yeast,5,Dayhoff+F+I+G4,80474.040,210,161368.080,161619.128,162278.441
HA,yeast,5,mtMAM,90550.793,189,181479.586,181671.618,182298.911
HA,yeast,5,mtMAM+I,90549.408,190,181478.815,181673.399,182302.475
HA,yeast,5,mtMAM+G4,87075.178,190,174530.355,174724.940,175354.016
HA,yeast,5,mtMAM+I+G4,87075.146,191,174532.293,174729.454,175360.288
HA,yeast,5,mtMAM+F,86957.682,208,174331.365,174576.278,175233.056
HA,yeast,5,mtMAM+F+I,86953.389,209,174324.779,174572.745,175230.805
HA,yeast,5,mtMAM+F+G4,84232.056,209,168882.112,169130.079,169788.139
HA,yeast,5,mtMAM+F+I+G4,84232.095,210,168884.190,169135.238,169794.552
HA,yeast,5,JTT,80488.963,189,161355.926,161547.958,162175.252
HA,yeast,5,JTT+I,80473.052,190,161326.103,161520.688,162149.764
HA,yeast,5,JTT+G4,79241.761,190,158863.523,159058.107,159687.183
HA,yeast,5,JTT+I+G4,79238.654,191,158859.307,159056.469,159687.303
HA,yeast,5,JTT+F,80161.984,208,160739.967,160984.880,161641.659
HA,yeast,5,JTT+F+I,80145.401,209,160708.802,160956.768,161614.828
HA,yeast,5,JTT+F+G4,78860.221,209,158138.442,158386.408,159044.468
